Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
Raw Deal,1986,R,06 Jun 1986,106 min,"Action, Crime, Thriller",John Irvin,"Luciano Vincenzoni, Sergio Donati, Gary DeVore","Arnold Schwarzenegger, Kathryn Harrold, Sam Wanamaker",A former FBI agent turned small-town sheriff agrees to help the FBI chief infiltrate the Chicago mafia when the FBI chief's son is killed by them.,English,"United States, Netherlands",N/A,https://m.media-amazon.com/images/M/MV5BYTVkNWIwZmYtMzM5MS00ZTcwLWI0ZjEtNTVlMTNjZWViNzliXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.6,"38,258",tt0091828,movie,N/A,"$16,209,459",N/A,N/A,True,,
Fire Birds,1990,PG-13,25 May 1990,85 min,"Action, Adventure",David Green,"Step Tyner, John K. Swensson, Dale Dye","Nicolas Cage, Tommy Lee Jones, Sean Young",Elite Apache helicopter pilots are tasked with destroying powerful armed drug cartels operating in South America.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDFlOTI3YjEtOTZjNS00ZDc0LTgyZmMtM2QzMzU1ZDcyMTU2XkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,4.7,"7,276",tt0099575,movie,N/A,"$14,760,451",N/A,N/A,True,,
Robot Stories,2003,Not Rated,20 Jan 2003,85 min,"Drama, Romance, Sci-Fi",Greg Pak,Greg Pak,"Tamlyn Tomita, James Saito, Vin Knight","Four tales: a robot baby as a pre-adoption test, a mother and her dying son's toy robot collection, a lonely robot office worker, and a sculptor contemplating robot-enabled immortality.",English,United States,13 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTk2MzY3NzM4N15BMl5BanBnXkFtZTcwNzc2ODcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.0,"1,445",tt0301777,movie,N/A,"$131,451",N/A,N/A,True,,
Against the Ropes,2004,PG-13,20 Feb 2004,111 min,"Biography, Drama, Romance",Charles S. Dutton,"Jackie Kallen, Cheryl Edwards","Meg Ryan, Omar Epps, Charles S. Dutton","A fictional story inspired by North America's most famous female boxing promoter, Jackie Kallen. Her struggle to survive and succeed in a male dominated sport.",English,"United States, Germany",2 nominations,https://m.media-amazon.com/images/M/MV5BMjk1NWExNjctOTlmYy00ZjFlLThjN2ItN2FkMTI5YzVlZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.3,"7,470",tt0312329,movie,N/A,"$5,884,190",N/A,N/A,True,,
Confessions of a Teenage Drama Queen,2004,PG,20 Feb 2004,89 min,"Comedy, Family, Music",Sara Sugarman,"Dyan Sheldon, Gail Parent","Lindsay Lohan, Megan Fox, Adam Garcia","A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",English,"Germany, United States, Canada",1 win,https://m.media-amazon.com/images/M/MV5BMTIzMDE0MDQ5Ml5BMl5BanBnXkFtZTcwNTUwMDUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.7,"31,720",tt0361467,movie,N/A,"$29,331,068",N/A,N/A,True,,
EuroTrip,2004,R,20 Feb 2004,92 min,Comedy,"Jeff Schaffer, Alec Berg, David Mandel","Alec Berg, David Mandel, Jeff Schaffer","Scott Mechlowicz, Jacob Pitts, Michelle Trachtenberg","Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.","English, French, German, Italian, Japanese",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMWRmYjY1NTUtNjNlMC00MDFjLTk0MTYtZWVlMTFhMjllYjUzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.6,"225,387",tt0356150,movie,N/A,"$17,771,387",N/A,N/A,True,,
The Passion of the Christ,2004,R,25 Feb 2004,127 min,Drama,Mel Gibson,"Benedict Fitzgerald, Mel Gibson","Jim Caviezel, Monica Bellucci, Maia Morgenstern","Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.","Aramaic, Latin, Hebrew, English",United States,Nominated for 3 Oscars. 30 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BYjE2MDNhMzItNmMzNi00NzY1LWIwNTktNmE5ZWE4OTcyNjJhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.2,"252,908",tt0335345,movie,N/A,"$370,782,930",N/A,N/A,True,,
Club Dread,2004,R,27 Feb 2004,104 min,"Comedy, Horror, Mystery",Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Jay Chandrasekhar, Bill Paxton, Kevin Heffernan",When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.,English,"United States, Mexico",N/A,https://m.media-amazon.com/images/M/MV5BMjExNDgxMjEwNl5BMl5BanBnXkFtZTcwMTYzNzQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.7,"31,699",tt0331953,movie,N/A,"$5,001,708",N/A,N/A,True,,
Dirty Dancing: Havana Nights,2004,PG-13,27 Feb 2004,86 min,"Drama, Music, Romance",Guy Ferland,"Kate Gunzinger, Peter Sagal, Boaz Yakin","Diego Luna, Romola Garai, Sela Ward","High school senior Katey moves to Havana in November 1958, when her dad gets a promotion at Ford. She meets a local waiter, who introduces her to sensual Cuban music/dance. They enter a big dance contest for the prize when he gets...","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTAyMjUyNTk5MzNeQTJeQWpwZ15BbWU2MDI0NTYyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.9,"29,716",tt0338096,movie,N/A,"$14,161,590",N/A,N/A,True,,
Alila,2003,N/A,01 Oct 2003,123 min,"Comedy, Drama",Amos Gitai,"Amos Gitai, Yehoshua Kenaz, Marie-Jose Sanselme","Yaël Abecassis, Hana Laslo, Uri Klauzner",Slice-of-life look at the lives of twelve people who live or work in the same apartment complex in Tel Aviv.,"Hebrew, English","Israel, France",4 nominations,https://m.media-amazon.com/images/M/MV5BMTg2MzI0NzQ3Ml5BMl5BanBnXkFtZTcwNzAxMjQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,652,tt0349079,movie,N/A,"$50,961",N/A,N/A,True,,
Hidalgo,2004,PG-13,05 Mar 2004,136 min,"Action, Adventure, Biography",Joe Johnston,John Fusco,"Viggo Mortensen, Omar Sharif, Zuleikha Robinson","In 1890, a down-and-out cowboy and his horse travel to Arabia to compete in a deadly cross desert horse race.","English, Arabic, Sioux","United States, Morocco",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTgyNjg5MjcxMl5BMl5BanBnXkFtZTcwNDQxMzQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.7,"86,170",tt0317648,movie,N/A,"$67,303,450",N/A,N/A,True,,
Starsky & Hutch,2004,PG-13,05 Mar 2004,101 min,"Comedy, Crime",Todd Phillips,"William Blinn, Stevie Long, John O'Brien","Ben Stiller, Owen Wilson, Snoop Dogg","Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear"".","English, Korean",United States,3 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BMzU2NTQ1NTkxOV5BMl5BanBnXkFtZTcwNTE1MTEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.1,"155,383",tt0335438,movie,N/A,"$88,237,754",N/A,N/A,True,,
The Reckoning,2003,R,04 Jun 2004,112 min,"Crime, Drama, Mystery",Paul McGuigan,"Barry Unsworth, Mark Mills","Willem Dafoe, Paul Bettany, Marián Aguilera","A priest on the lam takes up with a traveling band of actors, who then discover a murder has occurred and try to solve it by recreating the crime in a play.","English, Latin","United Kingdom, Spain",2 nominations,https://m.media-amazon.com/images/M/MV5BMTI3NTY5Mzk0N15BMl5BanBnXkFtZTcwOTA1MDUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.4,"6,420",tt0258816,movie,N/A,"$257,252",N/A,N/A,True,,
American Gun,2005,R,26 Dec 2007,95 min,Drama,Aric Avelino,"Steven Bagatourian, Aric Avelino","Marcia Gay Harden, Forest Whitaker, Donald Sutherland","Seemingly disparate portraits of people -- among them a single mother, a high school principal, and an ace student -- Distinctly American -- all affected by the proliferation of guns in American society.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMTc0Mjk5MDE3NF5BMl5BanBnXkFtZTYwMzI5MzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.1,"3,214",tt0416471,movie,N/A,"$24,098",N/A,N/A,True,,
Just One of the Guys,1985,PG-13,26 Apr 1985,100 min,"Comedy, Romance",Lisa Gottlieb,"Dennis Feldman, Jeff Franklin","Joyce Hyser, Clayton Rohner, Billy Jayne",Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice...,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMmJhOTc1NzAtODFhMC00ZjVlLWJmOWItZDgzMjllNDMyOWUyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.5,"18,279",tt0089393,movie,N/A,"$11,528,900",N/A,N/A,True,,
The Kiss,1896,Not Rated,01 Apr 1896,1 min,"Short, Romance",William Heise,John J. McNally,"May Irwin, John C. Rice","In a medium close-up shot of the first kiss ever recorded on screen, two fervent lovers cuddle and talk passionately at hair's breadth, just before the love-smitten gentleman decides to give his chosen one an innocent peck.",None,United States,1 win,https://m.media-amazon.com/images/M/MV5BMDRhNGI5M2QtZjcyMy00YzViLTkwOTMtN2FlZWQzZDU0MWJjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"3,648",tt0139738,movie,N/A,N/A,N/A,N/A,True,,
Wisconsin Death Trip,1999,Not Rated,09 Mar 2000,76 min,"Biography, Crime, Drama",James Marsh,"Michael Lesy, James Marsh","Ian Holm, Jeffrey Golden, Jo Vukelich",A series of grisly events that took place in the state of Wisconsin between 1890 and 1900 is dramatized as reported in the Black River Falls newspaper.,English,"United Kingdom, United States",Won 1 BAFTA Award3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2ODM0MDQzNl5BMl5BanBnXkFtZTcwODA1NTAwMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.6,"1,597",tt0210389,movie,N/A,N/A,N/A,N/A,True,,
Agent Cody Banks 2: Destination London,2004,PG,12 Mar 2004,100 min,"Action, Adventure, Comedy",Kevin Allen,"Jeffrey Jurgensen, Harald Zwart, Dylan Sellers","Frankie Muniz, Anthony Anderson, Hannah Spearritt","With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMjE4NDg4MDgxNF5BMl5BanBnXkFtZTcwMTc3NTQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,4.5,"16,083",tt0358349,movie,N/A,"$23,630,159",N/A,N/A,True,,
The Girl Next Door,2004,R,09 Apr 2004,109 min,"Comedy, Drama, Romance",Luke Greenfield,"David Wagner, Brent Goldberg, Stuart Blumberg","Emile Hirsch, Nicholas Downs, Elisha Cuthbert",A teenager's dreams come true when a former porn star moves in next door and they fall in love.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTQ0ODIyMzE1N15BMl5BanBnXkFtZTcwODEwODczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.7,"243,062",tt0265208,movie,N/A,"$14,589,444",N/A,N/A,True,,
Secret Window,2004,PG-13,12 Mar 2004,96 min,"Drama, Mystery, Thriller",David Koepp,"Stephen King, David Koepp","Johnny Depp, Maria Bello, John Turturro",A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BZjI0ZDBiM2MtZDdhMy00ZWQzLWIwNjAtZDAyNmMxZWJhMzA4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.5,"211,832",tt0363988,movie,N/A,"$48,022,900",N/A,N/A,True,,
Spartan,2004,R,12 Mar 2004,106 min,"Action, Crime, Drama",David Mamet,David Mamet,"Val Kilmer, Derek Luke, William H. Macy",The investigation into a kidnapping of the daughter of a high-ranking US government official.,"English, Russian, Swedish","Germany, United States",N/A,https://m.media-amazon.com/images/M/MV5BMTI2NzcyMzIzM15BMl5BanBnXkFtZTYwNDU3NTQ3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.5,"33,202",tt0360009,movie,N/A,"$4,434,432",N/A,N/A,True,,
Games People Play,2019–2021,TV-14,23 Apr 2019,60 min,"Drama, Sport",N/A,N/A,"Karen Obilom, Sarunas J. Jackson, Jackie Long",Three ambitious women navigate the highly competitive world of professional sports.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjc2MmM2M2ItYTZkMS00NWRhLWFjZjMtZmEwYjA3NDFkYjY4XkEyXkFqcGdeQXVyMjMxNTU3Njg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,592,tt8319644,series,,,,,True,2,
How to Draw a Bunny,2002,N/A,01 Jan 2002,90 min,Documentary,John W. Walter,N/A,"Joseph Ialacci, Richard Feigen, Frances Beatty","Interviews with Christo, Chuck Close, Roy Lichtenstein, Judith Malina, James Rosenquist and others help illuminate the life and work of Warhol contemporary Ray Johnson.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTMzOTU4MDgxOF5BMl5BanBnXkFtZTcwOTIwNDYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.4,615,tt0303348,movie,N/A,"$4,658",N/A,N/A,True,,
Clifford,1994,PG,01 Apr 1994,90 min,Comedy,Paul Flaherty,"William Porter, Steven Kampmann","Martin Short, Charles Grodin, Mary Steenburgen","A bratty 10-year-old boy is obsessed with visiting a dinosaur-themed amusement park. His uptight uncle takes the wily tyke in for a week, and barely lives to regret it.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODAwYzRlODEtMmE4Yy00NDQ2LWFlYTAtODk3OTIzZDJjNjU2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",N/A,5.4,"8,674",tt0109447,movie,N/A,"$7,408,745",N/A,N/A,True,,
Mad Dog and Glory,1993,R,05 Mar 1993,97 min,"Comedy, Crime, Drama",John McNaughton,Richard Price,"Robert De Niro, Uma Thurman, Bill Murray","When shy, soft-spoken Chicago detective Wayne ""Mad Dog"" Dobie inadvertently saves the life of local gangster Frank Milo, he's the reluctant recipient of an unusual one week ""thank you"" gift - a beautiful bartender named Glory.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYWViMGIzMzktNDhjYS00ZjVhLWFjOWQtMjVlMmRhZjI5ZDlkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.2,"22,871",tt0107473,movie,N/A,"$11,081,586",N/A,N/A,True,,
The Wind in the Willows,1949,Approved,05 Oct 1949,30 min,"Animation, Short, Comedy","James Algar, Jack Kinney","Kenneth Grahame, Winston Hibler, Homer Brightman","Basil Rathbone, Eric Blore, J. Pat O'Malley","Disney ""Mini-Classic"" version of the tale. First released as a double-feature: The Adventures of Ichabod and Mr. Toad.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2Q0YzIxOWQtNjVlMi00NDJmLTk3ODktNmY4MTY4YmIxMmVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjYyODY4NDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"2,191",tt0042044,movie,N/A,N/A,N/A,N/A,True,,
Night Crossing,1982,PG,05 Feb 1982,107 min,"Drama, Family, History",Delbert Mann,John McGreevey,"John Hurt, Jane Alexander, Doug McKeon","True tale about two men planning to escape from communist East Germany in a hot air balloon, but only if they can take their families with them.",English,"United Kingdom, West Germany, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BMTNiZmE3OTgtZTJhOC00YzNlLThhZWYtNTI0YjY5MmZjMTQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.5,"1,606",tt0082810,movie,N/A,"$8,000,000",N/A,N/A,True,,
Searching for Debra Winger,2002,R,13 Jul 2002,99 min,Documentary,Rosanna Arquette,Rosanna Arquette,"Patricia Arquette, Rosanna Arquette, Emmanuelle Béart",Rosanna Arquette talks to various actresses about the pressures they face as women working in the entertainment industry.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTM5MjQxODU3OF5BMl5BanBnXkFtZTcwNDk4MDUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.4,"1,229",tt0318049,movie,N/A,N/A,N/A,N/A,True,,
Walk Like a Man,1987,PG,17 Apr 1987,86 min,Comedy,Melvin Frank,Robert Klane,"Christopher Lloyd, Howie Mandel, Cloris Leachman",A boy raised by wolves is reunited as an adult with his real family.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTYwNjk4NjI1NV5BMl5BanBnXkFtZTcwNzU1Nzg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"1,611",tt0094288,movie,N/A,"$460,608",N/A,N/A,True,,
Dawn of the Dead,2004,R,19 Mar 2004,101 min,"Action, Horror",Zack Snyder,"George A. Romero, James Gunn","Sarah Polley, Ving Rhames, Mekhi Phifer","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",English,"United States, Canada, Japan, France",1 win & 17 nominations,https://m.media-amazon.com/images/M/MV5BN2M2ZmU2OGQtNmU5Yi00MTIyLTgwNWMtYjljMzZlYTdiNjBhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.3,"276,184",tt0363547,movie,N/A,"$59,020,957",N/A,N/A,True,,
Eternal Sunshine of the Spotless Mind,2004,R,19 Mar 2004,108 min,"Drama, Romance, Sci-Fi",Michel Gondry,"Charlie Kaufman, Michel Gondry, Pierre Bismuth","Jim Carrey, Kate Winslet, Tom Wilkinson","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",English,United States,Won 1 Oscar. 73 wins & 111 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.3,"1,091,878",tt0338013,movie,N/A,"$34,400,301",N/A,N/A,True,,
Taking Lives,2004,R,19 Mar 2004,103 min,"Crime, Mystery, Thriller",D.J. Caruso,"Michael Pye, Jon Bokenkamp","Angelina Jolie, Ethan Hawke, Kiefer Sutherland","A murder spree in Montreal, with the killer embracing his victims' identities, leads to an investigation by the FBI agent Illeana Scott. Her bond with an art dealer is crucial to solving the case.","English, French",United States,4 nominations,https://m.media-amazon.com/images/M/MV5BMTA3NDMyNzI5NTdeQTJeQWpwZ15BbWU3MDQxNDEyMzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.2,"96,422",tt0364045,movie,N/A,"$32,682,342",N/A,N/A,True,,
Intermission,2003,R,16 Apr 2004,105 min,"Comedy, Crime, Drama",John Crowley,Mark O'Rowe,"Cillian Murphy, Kelly Macdonald, Colin Farrell","A variety of losers in Dublin have harrowingly farcical intersecting stories of love, greed and violence.",English,"Ireland, United Kingdom",9 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTUyNjQzNzYyMF5BMl5BanBnXkFtZTcwNDg0MzUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"16,704",tt0332658,movie,N/A,"$896,993",N/A,N/A,True,,
Jersey Girl,2004,PG-13,26 Mar 2004,102 min,"Comedy, Drama, Romance",Kevin Smith,Kevin Smith,"Ben Affleck, Liv Tyler, Raquel Castro",A widower must look after his precocious daughter and rebuild his life and career after he's sidelined by an unexpected tragedy and a personal blowup.,English,United States,2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZTYxMTZlNTEtMjlmZS00ODFiLTg5ODUtYzJkMzc1MGNhYjVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.2,"71,466",tt0300051,movie,N/A,"$25,268,157",N/A,N/A,True,,
The Ladykillers,2004,R,26 Mar 2004,104 min,"Comedy, Crime, Thriller","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, William Rose","Tom Hanks, Marlon Wayans, Irma P. Hall","An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.","English, Vietnamese",United States,6 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTYwNjUxMTYzM15BMl5BanBnXkFtZTYwNjgwMjY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.2,"109,382",tt0335245,movie,N/A,"$39,799,191",N/A,N/A,True,,
Never Die Alone,2004,R,26 Mar 2004,88 min,"Action, Crime, Drama",Ernest R. Dickerson,"Donald Goines, James Gibson","DMX, David Arquette, Michael Ealy",A drug kingpin's return home touches off a turf war.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTQzMDE4MzM2NF5BMl5BanBnXkFtZTYwMDM1MDA3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.6,"6,161",tt0354766,movie,N/A,"$5,645,298",N/A,N/A,True,,
Scooby-Doo 2: Monsters Unleashed,2004,PG,26 Mar 2004,93 min,"Adventure, Comedy, Family",Raja Gosnell,"William Hanna, Joseph Barbera, James Gunn","Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard",The Mystery Inc. gang must save Coolsville from an attack of their past monsters brought to life by an evil masked figure trying to take down the gang.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjEzNzk3NTE1Ml5BMl5BanBnXkFtZTYwODM1MTU3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.2,"65,941",tt0331632,movie,N/A,"$84,239,132",N/A,N/A,True,,
